id,address
29314,"410065, Российская Федерация, Саратовская область, г. Саратов, ул. им. Дубовикова Б.А., дом 5"
29657,"410010, Россия, Волгоградская область, г. Волгоград, г. Саратов, пр. 50 лет Октября, 70, кв. 173"
29778,"410002, Россия, Саратовская область, г. Саратов, ул. Лермонтова, д. 24/26"
29807,"410056, Саратовская область, г. Саратов, ул. Чапаева, 56е"
30042,"410017, Россия, Саратовская область, г. Саратов, ул. Рахова, дом 10/16 кв. 128"
30184,"410054, Россия, Саратовская область, г. Саратов, 13-й Шелковичный проезд, д. 16/18"
30487,"410005, Российская Федерация, Саратовская область, г. Саратов, ул. Посадского, д. 193/199"
31065,"410019, Россия, Саратовская область, г. Саратов, ул. Танкистов, д. 68"
31077,"410031, Саратовская область, г. Саратов, ул. Тулупная, д. 11"
31433,"410056, Россия, Саратовская область, г. Саратов, ул. Бахметьевская, д. 34/42"
31862,"410062, Россия, Саратовская область, г. Саратов, Московское шоссе, д. 79"
31864,"410040, Российская Федерация, Саратовская область, г. Саратов, им. 50 лет Октября пр-кт, д. 110 А"
31876,"410010, Саратовская область, Саратов, ул. Безымянная, д. 6"
31890,"410052, Россия, Саратовская область, г. Саратов, ул. Мира, д. 9-в"
31895,"410002, Россия, Саратовская область, Саратовский район, г. Саратов, ул. Григорьева, д. 17/19, пом. № 3"
32069,"410078, Россия, Саратовская область, г. Саратов, ул. Рабочая, д. 145/155"
32086,"410053, Российская Федерация, Саратовская область, г. Саратов, ул. Клочкова, д. 81"
32532,"410065, Россия, Саратовская область, г. Саратов, Вишневый проезд, д. 19"
32681,"410012, Россия, Саратовская область, г. Саратов, ул. Астраханская, д. 79"
32740,"410009, Россия, Саратовская область, г. Саратов, улица Рябиновская, дом 21"
33005,"410048, Россия, Саратовская область, г. Саратов, ул. Прудная, д. 6"
33009,"410031, Россия, Саратовская область, г. Саратов, улица Соборная, дом № 42"
33011,"410031, Саратовская область, г. Саратов, ул. им. Некрасова Н.А., д. 54"
33012,"410012, Российская Федерация, Саратовская область, г. город Саратов, ул. им. Емлютина Д.В., д. 44 Д"
